model,target,origin_end,forecast_date,horizon,actual,prediction,prev_actual,error,abs_error,ape,pred_direction,actual_direction,lower80,upper80,lower95,upper95
gdp_qoq_pct_recalc_macro_plus_sentiment,gdp_qoq_pct_recalc,2023-12-31,2024-06-30,2,2.2259166897570903,2.6584333690594737,2.356313248986708,0.43251667930238336,0.43251667930238336,19.430946418285895,1.0,-1.0,1.910162860642338,3.4067038774766094,1.5140523807159958,3.8028143574029514
gdp_qoq_pct_recalc_macro_plus_sentiment,gdp_qoq_pct_recalc,2023-12-31,2024-12-31,4,2.1543624835458575,3.017761901575687,2.356313248986708,0.8633994180298297,0.8633994180298297,40.07679416180529,1.0,-1.0,2.2254818011508535,3.810042002000521,1.8060740504976345,4.22944975265374
gdp_qoq_pct_recalc_macro_plus_sentiment,gdp_qoq_pct_recalc,2024-03-31,2024-06-30,1,2.2259166897570903,2.547278704625627,2.3020692854136326,0.32136201486853677,0.32136201486853677,14.437288526894793,1.0,-1.0,1.92018789492249,3.174369514328764,1.588226072567151,3.506331336684103
gdp_qoq_pct_recalc_macro_plus_sentiment,gdp_qoq_pct_recalc,2024-03-31,2024-09-30,2,2.1772431579984985,2.353281454853331,2.3020692854136326,0.1760382968548324,0.1760382968548324,8.085376050356329,1.0,-1.0,1.6268070754028063,3.079755834303856,1.2422347691828741,3.464328140523788
gdp_qoq_pct_recalc_macro_plus_sentiment,gdp_qoq_pct_recalc,2024-03-31,2025-03-31,4,2.108928518733455,2.4489023410197808,2.3020692854136326,0.3399738222863258,0.3399738222863258,16.120689689876333,1.0,-1.0,1.6810970938222312,3.2167075882173304,1.2746455478422312,3.6231591341973304
gdp_qoq_pct_recalc_macro_plus_sentiment,gdp_qoq_pct_recalc,2024-06-30,2024-09-30,1,2.1772431579984985,2.0707307292473915,2.2259166897570903,-0.106512428751107,0.106512428751107,4.892077780096092,-1.0,-1.0,1.4548944191657476,2.6865670393290353,1.1288903690281469,3.012571089466636
gdp_qoq_pct_recalc_macro_plus_sentiment,gdp_qoq_pct_recalc,2024-06-30,2024-12-31,2,2.1543624835458575,2.610319500675487,2.2259166897570903,0.45595701712962944,0.45595701712962944,21.164359322632254,1.0,-1.0,1.8897159542676603,3.3309230470833135,1.5082514793306017,3.7123875220203724
gdp_qoq_pct_recalc_macro_plus_sentiment,gdp_qoq_pct_recalc,2024-06-30,2025-06-30,4,2.108928518733455,2.036839452436188,2.2259166897570903,-0.07208906629726686,0.07208906629726686,3.418279266314863,-1.0,-1.0,1.2686957645481733,2.804983140324203,0.8620650588888616,3.2116138459835146
gdp_qoq_pct_recalc_macro_plus_sentiment,gdp_qoq_pct_recalc,2024-09-30,2024-12-31,1,2.1543624835458575,2.7038511373927396,2.1772431579984985,0.5494886538468822,0.5494886538468822,25.505858834975665,1.0,-1.0,2.103418636789799,3.30428363799568,1.785568870827062,3.622133403958417
gdp_qoq_pct_recalc_macro_plus_sentiment,gdp_qoq_pct_recalc,2024-09-30,2025-03-31,2,2.108928518733455,2.250170054881271,2.1772431579984985,0.14124153614781587,0.14124153614781587,6.697312634979225,1.0,-1.0,1.5507440141487372,2.9495960956138045,1.1804902335292033,3.3198498762333384
gdp_qoq_pct_recalc_macro_plus_sentiment,gdp_qoq_pct_recalc,2024-09-30,2025-09-30,4,2.108928518733455,2.63133075646652,2.1772431579984985,0.5224022377330648,0.5224022377330648,24.77097886877647,1.0,-1.0,1.888688484659045,3.3739730282739946,1.4955574132213623,3.7671040997116774
gdp_qoq_pct_recalc_macro_plus_sentiment,gdp_qoq_pct_recalc,2024-12-31,2025-03-31,1,2.108928518733455,1.7295551545479242,2.1543624835458575,-0.3793733641855308,0.3793733641855308,17.988915262683655,-1.0,-1.0,1.1326756718509312,2.326434637244917,0.8167067599537767,2.6424035491420717
gdp_qoq_pct_recalc_macro_plus_sentiment,gdp_qoq_pct_recalc,2024-12-31,2025-06-30,2,2.108928518733455,1.6367536018829774,2.1543624835458575,-0.47217491685047763,0.47217491685047763,22.389327692057034,-1.0,-1.0,0.9177661193492381,2.3557410844167164,0.5371571369507142,2.7363500668152403
gdp_qoq_pct_recalc_macro_plus_sentiment,gdp_qoq_pct_recalc,2024-12-31,2025-12-31,4,2.108928518733455,1.8428072012526244,2.1543624835458575,-0.26612131748083057,0.26612131748083057,12.618792676797469,-1.0,-1.0,1.0540786334182464,2.6315357690870025,0.6365509505520839,3.049063451953165
gdp_qoq_pct_recalc_macro_plus_sentiment,gdp_qoq_pct_recalc,2025-03-31,2025-06-30,1,2.108928518733455,1.9920488869641515,2.108928518733455,-0.1168796317693035,0.1168796317693035,5.542133397650533,-1.0,0.0,1.4025141230285443,2.5815836508997587,1.0904332703837194,2.8936645035445836
gdp_qoq_pct_recalc_macro_plus_sentiment,gdp_qoq_pct_recalc,2025-03-31,2025-09-30,2,2.108928518733455,2.4245915588047433,2.108928518733455,0.3156630400712883,0.3156630400712883,14.967934534872901,1.0,0.0,1.730954963284335,3.1182281543251515,1.3637659298326845,3.485417187776802
gdp_qoq_pct_recalc_macro_plus_sentiment,gdp_qoq_pct_recalc,2025-03-31,2026-03-31,4,2.108928518733455,2.4828067704588768,2.108928518733455,0.3738782517254218,0.3738782517254218,17.7283510751687,1.0,0.0,1.7397011313062518,3.2259124096115017,1.3463247680130106,3.619288772904743
